id_reserva,id_unidade,id_tipo_quarto,id_cliente,id_canal,data_checkin,data_checkout,qtd_diarias,num_hospedes,avaliacao_hospede,status_reserva,forma_pagamento,avaliado_sim_nao
89,3,1,166,3,2023-07-15,2023-07-17,2.0,1.0,1,Confirmada,Cartão de Crédito,Sim
90,11,2,44,2,2023-04-08,2023-04-14,6.0,2.0,8,Cancelada,Cartão de Débito,Sim
91,3,1,97,1,2023-07-15,2023-07-17,2.0,2.0,2,Confirmada,Transferência,Sim
92,7,4,27,3,2023-03-19,2023-03-26,7.0,4.0,99,No-show,PIX,Não
93,2,2,164,4,2023-06-01,2023-06-04,3.0,2.0,99,Confirmada,Dinheiro,Não
94,12,5,265,0,2023-12-09,2023-12-11,2.0,3.0,10,No-show,Cartão de Débito,Sim
95,3,3,141,2,2024-11-28,2024-12-01,3.0,3.0,1,No-show,Dinheiro,Sim
96,3,1,251,2,2023-05-14,2023-05-16,2.0,2.0,4,No-show,Dinheiro,Sim
97,9,3,278,3,2024-09-16,2024-09-20,4.0,1.0,9,Confirmada,Cartão de Crédito,Sim
98,2,4,228,1,2024-10-03,2024-10-10,7.0,3.0,7,Confirmada,Cartão de Débito,Sim
99,7,5,210,2,2023-06-01,2023-06-02,1.0,1.0,8,Confirmada,Dinheiro,Sim
100,10,1,67,4,2023-12-19,2023-12-22,3.0,1.0,10,Confirmada,Dinheiro,Sim
101,5,1,48,3,2024-06-15,2024-06-17,2.0,2.0,2,Confirmada,Cartão de Crédito,Sim
102,4,3,40,4,2023-11-26,2023-12-03,7.0,2.0,6,Confirmada,Cartão de Débito,Sim
103,9,3,244,1,2023-04-13,2023-04-14,1.0,1.0,9,Confirmada,Cartão de Crédito,Sim
104,2,5,237,2,2024-07-04,2024-07-08,4.0,4.0,6,Confirmada,PIX,Sim
105,11,2,227,4,2024-06-21,2024-06-25,4.0,1.0,9,Confirmada,Cartão de Crédito,Sim
106,8,3,53,0,2023-04-20,2023-04-22,2.0,1.0,6,Confirmada,Dinheiro,Sim
107,10,1,143,1,2023-01-23,2023-01-28,5.0,1.0,99,Confirmada,Transferência,Não
108,7,3,105,1,2024-09-16,2024-09-23,7.0,2.0,99,Confirmada,Cartão de Débito,Não
109,3,2,26,1,2024-01-15,2024-01-17,2.0,2.0,2,Confirmada,Dinheiro,Sim
110,10,1,292,4,2023-11-25,2023-12-02,7.0,2.0,99,Confirmada,Dinheiro,Não
111,10,2,170,2,2023-10-28,2023-10-30,2.0,1.0,10,Confirmada,Dinheiro,Sim
112,6,2,165,2,2024-11-15,2024-11-17,2.0,1.0,99,Confirmada,PIX,Não
113,12,5,248,4,2023-01-31,2023-02-01,1.0,3.0,99,Confirmada,PIX,Não
114,12,2,166,1,2024-11-30,2024-12-02,2.0,2.0,9,Confirmada,PIX,Sim
115,5,2,281,4,2023-10-15,2023-10-17,2.0,1.0,1,Confirmada,Cartão de Crédito,Sim
116,12,4,89,1,2023-07-08,2023-07-09,1.0,2.0,6,Cancelada,Cartão de Débito,Sim
117,3,3,244,2,2023-09-01,2023-09-04,3.0,2.0,2,Cancelada,Cartão de Débito,Sim
118,4,1,138,2,2023-05-07,2023-05-11,4.0,2.0,9,Confirmada,Transferência,Sim
119,10,1,21,4,2023-09-05,2023-09-07,2.0,2.0,7,Confirmada,PIX,Sim
120,2,4,24,1,2023-12-12,2023-12-19,7.0,4.0,10,Confirmada,Cartão de Débito,Sim
121,4,5,62,1,2023-04-24,2023-04-25,1.0,3.0,9,Confirmada,Dinheiro,Sim
122,5,1,129,2,2024-06-15,2024-06-17,2.0,2.0,3,Confirmada,Cartão de Crédito,Sim
123,3,1,199,3,2023-07-15,2023-07-17,2.0,1.0,3,Confirmada,Dinheiro,Sim
124,7,3,104,2,2024-03-01,2024-03-02,1.0,1.0,99,Confirmada,PIX,Não
125,6,3,60,3,2024-07-11,2024-07-12,1.0,2.0,7,Cancelada,Dinheiro,Sim
126,9,4,226,1,2023-11-19,2023-11-23,4.0,2.0,99,Confirmada,PIX,Não
127,3,2,121,4,2024-01-15,2024-01-17,2.0,2.0,1,Confirmada,Cartão de Crédito,Sim
128,9,4,156,2,2024-04-29,2024-05-03,4.0,1.0,8,Confirmada,Transferência,Sim
129,11,1,232,2,2023-05-21,2023-05-24,3.0,1.0,7,Confirmada,PIX,Sim
130,9,1,25,2,2024-04-21,2024-04-24,3.0,1.0,6,Confirmada,PIX,Sim
131,2,3,138,2,2024-10-01,2024-10-06,5.0,1.0,10,No-show,Dinheiro,Sim
132,6,4,97,2,2024-11-05,2024-11-10,5.0,1.0,6,Confirmada,Dinheiro,Sim
133,3,2,88,3,2024-01-15,2024-01-17,2.0,2.0,1,Confirmada,PIX,Sim
134,2,1,146,1,2023-11-17,2023-11-22,5.0,1.0,99,Confirmada,Cartão de Débito,Não
135,10,3,21,2,2024-09-10,2024-09-17,7.0,1.0,6,Confirmada,Cartão de Débito,Sim
136,8,3,242,2,2023-06-13,2023-06-17,4.0,3.0,9,Confirmada,Cartão de Crédito,Sim
137,5,1,116,4,2023-10-07,2023-10-08,1.0,1.0,4,Cancelada,Cartão de Débito,Sim
138,10,2,249,0,2023-04-07,2023-04-10,3.0,1.0,6,Confirmada,Dinheiro,Sim
139,2,3,234,2,2024-10-31,2024-11-01,1.0,1.0,7,Confirmada,Cartão de Crédito,Sim
140,10,1,121,4,2024-08-13,2024-08-20,7.0,2.0,9,Confirmada,PIX,Sim
141,6,3,269,1,2024-02-28,2024-02-29,1.0,1.0,9,Confirmada,Cartão de Crédito,Sim
142,6,2,58,0,2023-08-26,2023-09-01,6.0,2.0,8,No-show,PIX,Sim
143,7,3,101,3,2024-03-11,2024-03-13,2.0,2.0,10,Confirmada,Cartão de Crédito,Sim
144,8,1,56,4,2024-05-08,2024-05-09,1.0,1.0,99,Confirmada,Dinheiro,Não
145,9,2,157,2,2023-02-26,2023-03-01,3.0,2.0,99,Confirmada,Transferência,Não
146,6,4,58,3,2023-02-02,2023-02-07,5.0,4.0,8,Confirmada,Transferência,Sim
147,6,2,266,4,2024-08-31,2024-09-05,5.0,2.0,10,Confirmada,PIX,Sim
148,3,2,154,4,2024-01-15,2024-01-17,2.0,2.0,1,Confirmada,PIX,Sim
149,7,3,147,2,2024-11-14,2024-11-17,3.0,3.0,10,Confirmada,PIX,Sim
150,7,2,234,2,2023-09-08,2023-09-12,4.0,2.0,10,Confirmada,Cartão de Crédito,Sim
151,7,3,248,1,2023-06-09,2023-06-15,6.0,3.0,10,Cancelada,Dinheiro,Sim
152,2,5,149,4,2024-08-03,2024-08-08,5.0,3.0,6,Confirmada,Dinheiro,Sim
153,11,5,148,1,2023-08-28,2023-08-29,1.0,4.0,10,Cancelada,Dinheiro,Sim
154,3,3,153,2,2024-06-22,2024-06-24,2.0,3.0,99,Confirmada,PIX,Não
155,5,1,47,0,2023-06-20,2023-06-23,3.0,2.0,99,Confirmada,Dinheiro,Não
156,1,3,133,2,2023-01-15,2023-01-18,3.0,2.0,8,Confirmada,Transferência,Sim
157,3,3,25,2,2024-12-14,2024-12-15,1.0,3.0,1,Confirmada,Cartão de Crédito,Sim
158,4,3,190,1,2023-07-12,2023-07-16,4.0,3.0,8,Confirmada,Cartão de Crédito,Sim
159,11,2,125,1,2024-11-29,2024-12-05,6.0,1.0,7,Confirmada,PIX,Sim
160,11,1,299,1,2024-01-27,2024-01-28,1.0,1.0,6,Cancelada,Cartão de Crédito,Sim
161,9,2,49,2,2023-02-11,2023-02-12,1.0,1.0,7,Confirmada,Cartão de Débito,Sim
162,11,5,45,1,2024-04-07,2024-04-10,3.0,2.0,10,Confirmada,Dinheiro,Sim
163,7,5,102,0,2023-03-17,2023-03-22,5.0,1.0,9,Confirmada,Dinheiro,Sim
164,4,4,5,4,2023-04-23,2023-04-24,1.0,3.0,7,Confirmada,Transferência,Sim
165,12,3,88,2,2024-05-15,2024-05-20,5.0,3.0,6,Cancelada,Cartão de Crédito,Sim
166,3,3,292,2,2024-10-06,2024-10-09,3.0,2.0,4,Confirmada,PIX,Sim
167,6,2,192,2,2023-07-30,2023-08-01,2.0,1.0,10,Confirmada,Dinheiro,Sim
168,5,2,234,2,2024-06-15,2024-06-17,2.0,1.0,2,Confirmada,Cartão de Débito,Sim
169,4,4,166,3,2024-08-21,2024-08-26,5.0,1.0,7,Confirmada,Dinheiro,Sim
170,2,2,223,1,2024-02-15,2024-02-20,5.0,1.0,9,Confirmada,Dinheiro,Sim
171,1,3,69,1,2023-04-27,2023-05-01,4.0,3.0,9,Confirmada,Cartão de Débito,Sim
172,8,3,104,2,2024-12-10,2024-12-16,6.0,3.0,7,Confirmada,Cartão de Crédito,Sim
173,4,1,23,4,2023-08-20,2023-08-22,2.0,2.0,10,Concluída,PIX,Sim
174,2,2,145,0,2024-12-02,2024-12-09,7.0,2.0,99,Confirmada,Transferência,Não
175,1,3,217,2,2024-09-22,2024-09-28,6.0,2.0,8,Confirmada,Dinheiro,Sim
176,7,5,66,1,2023-01-09,2023-01-10,1.0,1.0,6,Confirmada,Transferência,Sim
177,7,5,138,2,2024-07-15,2024-07-19,4.0,2.0,99,Concluída,Cartão de Crédito,Não
178,5,1,76,2,2024-06-15,2024-06-17,2.0,1.0,3,Confirmada,Transferência,Sim
179,6,2,199,2,2024-08-20,2024-08-27,7.0,1.0,9,Confirmada,Dinheiro,Sim
180,7,5,270,4,2024-09-23,2024-09-29,6.0,3.0,10,No-show,PIX,Sim
181,6,2,224,1,2024-03-24,2024-03-28,4.0,1.0,8,Confirmada,PIX,Sim
182,1,2,214,2,2024-07-22,2024-07-25,3.0,2.0,6,Cancelada,Cartão de Débito,Sim
183,11,5,4,1,2023-04-13,2023-04-15,2.0,4.0,6,Confirmada,Dinheiro,Sim
184,5,2,268,2,2023-08-22,2023-08-25,3.0,2.0,1,Cancelada,Cartão de Débito,Sim
185,3,1,178,1,2024-01-15,2024-01-17,2.0,2.0,1,Confirmada,Dinheiro,Sim
186,6,3,13,3,2024-05-20,2024-05-22,2.0,1.0,99,Confirmada,Transferência,Não
187,10,3,31,2,2023-07-17,2023-07-23,6.0,3.0,9,Confirmada,Transferência,Sim
188,4,1,75,2,2024-02-16,2024-02-19,3.0,2.0,9,Confirmada,Dinheiro,Sim
189,4,3,141,1,2024-05-26,2024-06-01,6.0,1.0,6,Confirmada,Cartão de Crédito,Sim
190,4,2,217,0,2023-03-28,2023-03-31,3.0,2.0,6,Confirmada,Dinheiro,Sim
191,6,2,254,3,2024-10-17,2024-10-22,5.0,2.0,6,Confirmada,Transferência,Sim
192,9,4,218,2,2024-12-24,2024-12-26,2.0,4.0,99,Confirmada,Cartão de Crédito,Não
193,7,1,92,1,2024-10-16,2024-10-17,1.0,1.0,6,Concluída,PIX,Sim
194,7,1,228,2,2023-07-31,2023-08-04,4.0,1.0,0,Concluída,PIX,Sim
195,9,3,101,3,2023-02-08,2023-02-13,5.0,1.0,10,Confirmada,Dinheiro,Sim
196,12,2,155,1,2023-08-16,2023-08-19,3.0,2.0,6,Confirmada,Dinheiro,Sim
197,5,2,280,2,2023-02-14,2023-02-17,3.0,1.0,4,Concluída,Dinheiro,Sim
198,10,2,285,1,2024-04-14,2024-04-16,2.0,1.0,9,Confirmada,Cartão de Débito,Sim
199,2,2,255,1,2023-04-08,2023-04-13,5.0,1.0,7,Confirmada,Dinheiro,Sim
200,2,4,99,2,2023-12-08,2023-12-12,4.0,3.0,99,Cancelada,Cartão de Débito,Não
201,11,3,124,1,2024-01-03,2024-01-05,2.0,2.0,99,Confirmada,Dinheiro,Não
202,4,3,86,4,2024-01-10,2024-01-14,4.0,2.0,99,Confirmada,Cartão de Crédito,Não
203,11,4,121,4,2023-10-14,2023-10-16,2.0,1.0,7,Cancelada,Cartão de Débito,Sim
204,10,3,111,4,2023-09-30,2023-10-02,2.0,1.0,99,Confirmada,Cartão de Crédito,Não
205,3,1,56,4,2024-05-29,2024-05-30,1.0,1.0,2,Confirmada,Transferência,Sim
206,9,2,112,1,2023-11-13,2023-11-15,2.0,1.0,99,Confirmada,Cartão de Crédito,Não
207,9,3,133,2,2023-04-04,2023-04-08,4.0,3.0,8,Confirmada,Dinheiro,Sim
208,6,3,278,1,2023-10-22,2023-10-28,6.0,1.0,10,Confirmada,Cartão de Débito,Sim
209,9,3,281,1,2024-08-14,2024-08-20,6.0,1.0,10,Cancelada,Cartão de Crédito,Sim
210,11,3,238,1,2024-07-17,2024-07-24,7.0,3.0,6,Confirmada,Transferência,Sim
211,8,1,296,2,2024-11-10,2024-11-11,1.0,2.0,10,Confirmada,Cartão de Crédito,Sim
212,5,1,120,3,2024-06-15,2024-06-17,2.0,2.0,3,Confirmada,PIX,Sim
213,4,2,283,1,2023-10-20,2023-10-24,4.0,2.0,9,Confirmada,Cartão de Crédito,Sim
214,2,3,287,0,2023-10-21,2023-10-24,3.0,3.0,99,Confirmada,Transferência,Não
215,9,1,206,2,2023-06-27,2023-07-04,7.0,1.0,10,Confirmada,Dinheiro,Sim
216,7,3,299,4,2024-01-11,2024-01-17,6.0,2.0,6,Confirmada,Cartão de Crédito,Sim
217,7,3,184,4,2024-02-11,2024-02-16,5.0,1.0,9,Confirmada,PIX,Sim
218,7,2,136,1,2023-08-18,2023-08-24,6.0,1.0,8,Confirmada,Cartão de Crédito,Sim
219,12,3,177,1,2023-08-08,2023-08-13,5.0,1.0,8,Confirmada,Transferência,Sim
220,5,1,225,2,2023-10-15,2023-10-17,2.0,1.0,1,Confirmada,Cartão de Crédito,Sim
221,10,2,282,1,2023-01-06,2023-01-11,5.0,2.0,8,Confirmada,Transferência,Sim
222,8,1,169,1,2023-02-05,2023-02-06,1.0,1.0,9,Concluída,PIX,Sim
223,8,1,16,2,2023-05-31,2023-06-01,1.0,1.0,10,Confirmada,Transferência,Sim
224,11,1,262,1,2023-01-18,2023-01-25,7.0,1.0,8,Confirmada,Cartão de Débito,Sim
225,2,2,130,2,2024-06-19,2024-06-23,4.0,1.0,10,Confirmada,Transferência,Sim
226,2,2,153,2,2024-09-21,2024-09-24,3.0,2.0,6,Cancelada,Cartão de Crédito,Sim
227,9,3,184,2,2023-07-23,2023-07-24,1.0,2.0,10,Confirmada,Transferência,Sim
228,10,1,221,2,2023-06-13,2023-06-18,5.0,2.0,8,Concluída,Cartão de Débito,Sim
229,11,2,138,4,2023-11-17,2023-11-23,6.0,1.0,6,Confirmada,Cartão de Débito,Sim
230,9,2,86,0,2023-06-11,2023-06-12,1.0,2.0,9,Confirmada,Cartão de Crédito,Sim
231,4,5,182,2,2023-10-01,2023-10-02,1.0,3.0,7,Confirmada,Dinheiro,Sim
232,2,4,294,2,2023-02-07,2023-02-09,2.0,3.0,6,Confirmada,PIX,Sim
233,6,3,282,1,2024-03-26,2024-03-27,1.0,3.0,8,Concluída,Dinheiro,Sim
234,4,5,220,1,2023-06-21,2023-06-22,1.0,4.0,10,Confirmada,PIX,Sim
235,9,1,182,2,2024-12-17,2024-12-22,5.0,1.0,99,Confirmada,Cartão de Débito,Não
236,2,3,160,0,2024-06-28,2024-07-04,6.0,1.0,6,Confirmada,PIX,Sim
237,4,1,283,4,2023-10-05,2023-10-10,5.0,2.0,9,Confirmada,Transferência,Sim
238,10,3,254,1,2023-11-04,2023-11-11,7.0,2.0,6,Confirmada,Transferência,Sim
239,1,3,115,1,2024-10-24,2024-10-26,2.0,2.0,6,Confirmada,Cartão de Crédito,Sim
240,2,3,63,1,2024-12-25,2025-01-01,7.0,3.0,6,Confirmada,Dinheiro,Sim
241,9,2,273,1,2024-09-24,2024-09-27,3.0,2.0,9,No-show,Cartão de Crédito,Sim
242,11,4,14,4,2023-04-07,2023-04-11,4.0,3.0,99,Confirmada,PIX,Não
243,2,1,51,2,2024-03-30,2024-04-04,5.0,1.0,9,Cancelada,Cartão de Débito,Sim
244,10,2,193,2,2023-12-14,2023-12-20,6.0,2.0,9,Confirmada,Transferência,Sim
245,6,2,233,1,2023-10-26,2023-10-27,1.0,1.0,9,Confirmada,PIX,Sim
246,3,2,214,1,2023-08-22,2023-08-23,1.0,2.0,4,Confirmada,Dinheiro,Sim
247,8,3,191,2,2024-10-08,2024-10-13,5.0,3.0,9,Confirmada,Cartão de Débito,Sim
248,4,5,112,2,2023-04-27,2023-05-04,7.0,1.0,7,Confirmada,Cartão de Crédito,Sim
249,10,4,187,3,2024-10-17,2024-10-19,2.0,4.0,99,Confirmada,Transferência,Não
250,12,2,3,1,2023-10-18,2023-10-21,3.0,2.0,6,Confirmada,Cartão de Débito,Sim
251,3,4,290,1,2023-01-08,2023-01-09,1.0,3.0,4,Confirmada,Transferência,Sim
252,5,2,196,4,2023-10-15,2023-10-17,2.0,2.0,1,Confirmada,Cartão de Débito,Sim
253,5,3,202,2,2023-09-27,2023-09-29,2.0,2.0,3,No-show,Transferência,Sim
254,1,4,10,1,2023-12-12,2023-12-16,4.0,3.0,9,Confirmada,Dinheiro,Sim
255,6,2,40,2,2024-05-26,2024-06-01,6.0,2.0,7,Concluída,Cartão de Débito,Sim
256,9,5,235,3,2023-12-25,2023-12-30,5.0,4.0,7,Concluída,Cartão de Débito,Sim
257,10,1,6,1,2024-01-15,2024-01-16,1.0,1.0,9,Confirmada,Cartão de Crédito,Sim
258,2,5,289,2,2024-10-06,2024-10-11,5.0,3.0,8,Confirmada,Cartão de Débito,Sim
259,2,5,277,1,2024-06-23,2024-06-30,7.0,4.0,10,No-show,Cartão de Crédito,Sim
260,8,1,67,0,2023-10-12,2023-10-13,1.0,2.0,6,Confirmada,Cartão de Débito,Sim
261,10,2,199,3,2024-08-12,2024-08-18,6.0,2.0,8,Confirmada,Transferência,Sim
262,4,3,240,2,2024-09-13,2024-09-15,2.0,3.0,10,Confirmada,Transferência,Sim
263,4,2,44,1,2023-01-06,2023-01-11,5.0,1.0,99,Confirmada,Cartão de Crédito,Não
264,11,3,292,1,2023-11-23,2023-11-26,3.0,2.0,6,Confirmada,Dinheiro,Sim
265,4,2,216,4,2024-08-10,2024-08-16,6.0,2.0,7,Confirmada,PIX,Sim
266,5,1,135,1,2023-10-15,2023-10-17,2.0,1.0,2,Confirmada,PIX,Sim
267,1,1,152,3,2023-01-26,2023-01-30,4.0,1.0,7,Concluída,Cartão de Crédito,Sim
268,7,2,280,2,2024-05-23,2024-05-28,5.0,2.0,7,Concluída,Cartão de Débito,Sim
269,5,3,41,0,2023-11-24,2023-11-26,2.0,2.0,2,Cancelada,Transferência,Sim
270,12,3,275,4,2024-01-25,2024-01-31,6.0,1.0,10,Confirmada,Cartão de Débito,Sim
271,3,1,148,2,2024-01-15,2024-01-17,2.0,2.0,2,Confirmada,Cartão de Débito,Sim
272,4,5,15,3,2023-06-22,2023-06-26,4.0,2.0,7,Cancelada,Dinheiro,Sim
